month,day,hour,src_beacon_hill,src_boston_university,src_fenway,src_financial_district,src_haymarket_square,src_north_end,src_north_station,src_northeastern_university,src_south_station,src_theatre_district,src_west_end,demand,weekday,is_weekend,avg_price,avg_distance,avg_temperature,avg_precip_intensity,avg_precip_prob,avg_humidity,avg_wind_speed,avg_visibility,avg_temp_high,avg_temp_low,prop_uber,prop_shared,prop_special,prop_standard,prop_xl
11,26,3,0,0,0,0,0,0,0,0,0,0,0,8,0,0,19.8125,2.8075,41.83,0.0,0.0,0.92,0.51,1.685,46.15,40.15,0.125,0.125,0.0,0.125,0.25
11,26,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,10.0,2.8,41.83,0.0,0.0,0.92,0.51,1.685,46.15,40.15,1.0,1.0,0.0,0.0,0.0
11,26,3,0,0,0,0,0,0,0,0,0,1,0,13,0,0,17.23076923076923,2.470769230769231,41.83,0.0,0.0,0.92,0.51,1.685,46.14999999999999,40.14999999999999,0.6153846153846154,0.3076923076923077,0.07692307692307693,0.15384615384615385,0.15384615384615385
11,26,3,0,0,0,0,0,0,0,0,1,0,0,11,0,0,16.59090909090909,2.2772727272727273,41.83,0.0,0.0,0.92,0.51,1.685,46.15,40.15,0.8181818181818182,0.0,0.18181818181818182,0.2727272727272727,0.18181818181818182
11,26,3,0,0,0,0,0,0,0,1,0,0,0,4,0,0,17.5,2.4475,41.83,0.0,0.0,0.92,0.51,1.685,46.15,40.15,0.5,0.0,0.0,0.5,0.25
11,26,3,0,0,0,0,0,0,1,0,0,0,0,5,0,0,14.7,1.474,41.83,0.0,0.0,0.9200000000000002,0.51,1.685,46.15,40.15,0.6,0.0,0.2,0.2,0.0
11,26,3,0,0,0,0,0,1,0,0,0,0,0,4,0,0,11.25,1.23,41.83,0.0,0.0,0.92,0.51,1.685,46.15,40.15,0.0,0.25,0.0,0.25,0.0
11,26,3,0,0,0,0,1,0,0,0,0,0,0,4,0,0,21.5,1.1749999999999998,41.83,0.0,0.0,0.92,0.51,1.685,46.15,40.15,0.75,0.0,0.0,0.0,0.25
11,26,3,0,0,0,1,0,0,0,0,0,0,0,5,0,0,25.9,4.4799999999999995,41.83,0.0,0.0,0.9200000000000002,0.51,1.685,46.15,40.15,0.0,0.0,0.0,0.2,0.4
11,26,3,0,0,1,0,0,0,0,0,0,0,0,6,0,0,21.166666666666668,2.7616666666666667,41.83,0.0,0.0,0.92,0.51,1.6849999999999998,46.15,40.15,0.16666666666666666,0.0,0.0,0.16666666666666666,0.5
11,26,3,0,1,0,0,0,0,0,0,0,0,0,9,0,0,28.0,3.3966666666666665,41.83,0.0,0.0,0.9200000000000002,0.51,1.685,46.15,40.15,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111
11,26,3,1,0,0,0,0,0,0,0,0,0,0,7,0,0,11.642857142857142,2.117142857142857,41.83,0.0,0.0,0.92,0.51,1.685,46.15,40.15,0.5714285714285714,0.14285714285714285,0.0,0.2857142857142857,0.2857142857142857
11,26,4,0,0,0,0,0,0,0,0,0,0,0,23,0,0,13.869565217391305,1.5986956521739129,41.52,0.0,0.0,0.9,0.45,4.159,46.28,40.21,0.5217391304347826,0.13043478260869565,0.21739130434782608,0.08695652173913043,0.13043478260869565
11,26,4,0,0,0,0,0,0,0,0,0,0,1,35,0,0,15.728571428571428,2.088857142857143,41.52,0.0,0.0,0.9,0.45,4.159,46.28,40.21,0.6285714285714286,0.17142857142857143,0.08571428571428572,0.2,0.11428571428571428
11,26,4,0,0,0,0,0,0,0,0,0,1,0,47,0,0,15.191489361702128,2.089787234042553,41.52,0.0,0.0,0.9000000000000001,0.45000000000000007,4.159,46.279999999999994,40.21,0.574468085106383,0.1702127659574468,0.10638297872340426,0.19148936170212766,0.1702127659574468
11,26,4,0,0,0,0,0,0,0,0,1,0,0,28,0,0,16.821428571428573,1.8907142857142856,41.52,0.0,0.0,0.9,0.45,4.159,46.28000000000001,40.21,0.7857142857142857,0.10714285714285714,0.14285714285714285,0.10714285714285714,0.10714285714285714
11,26,4,0,0,0,0,0,0,0,1,0,0,0,26,0,0,18.96153846153846,2.9046153846153846,41.519999999999996,0.0,0.0,0.9000000000000001,0.45000000000000007,4.159,46.28,40.21,0.6153846153846154,0.11538461538461539,0.15384615384615385,0.11538461538461539,0.19230769230769232
11,26,4,0,0,0,0,0,0,1,0,0,0,0,46,0,0,15.108695652173912,1.8595652173913042,41.52,0.0,0.0,0.9,0.45,4.159,46.28,40.21,0.6739130434782609,0.13043478260869565,0.13043478260869565,0.15217391304347827,0.2391304347826087
11,26,4,0,0,0,0,0,1,0,0,0,0,0,35,0,0,17.0,1.6094285714285714,41.52,0.0,0.0,0.9,0.45,4.159,46.28,40.21,0.3142857142857143,0.11428571428571428,0.05714285714285714,0.11428571428571428,0.11428571428571428
11,26,4,0,0,0,0,1,0,0,0,0,0,0,31,0,0,13.516129032258064,1.1316129032258064,41.52,0.0,0.0,0.9,0.45,4.159,46.28,40.21,0.3548387096774194,0.12903225806451613,0.03225806451612903,0.12903225806451613,0.22580645161290322
11,26,4,0,0,0,1,0,0,0,0,0,0,0,33,0,0,19.666666666666668,3.2184848484848483,41.52,0.0,0.0,0.9,0.45,4.159,46.28,40.21,0.5151515151515151,0.12121212121212122,0.18181818181818182,0.12121212121212122,0.2727272727272727
11,26,4,0,0,1,0,0,0,0,0,0,0,0,25,0,0,19.64,3.0724,41.52,0.0,0.0,0.9,0.45,4.159,46.28,40.21,0.36,0.12,0.08,0.2,0.12
11,26,4,0,1,0,0,0,0,0,0,0,0,0,35,0,0,19.485714285714284,2.9811428571428573,41.52,0.0,0.0,0.9,0.45,4.159,46.28,40.21,0.6571428571428571,0.22857142857142856,0.02857142857142857,0.11428571428571428,0.2
11,26,4,1,0,0,0,0,0,0,0,0,0,0,26,0,0,14.26923076923077,1.8876923076923076,41.519999999999996,0.0,0.0,0.9000000000000001,0.45000000000000007,4.159,46.28,40.21,0.8076923076923077,0.19230769230769232,0.15384615384615385,0.15384615384615385,0.19230769230769232
11,26,5,0,0,0,0,0,0,0,0,0,0,0,51,0,0,17.019607843137255,2.202549019607843,41.99,0.0,0.0,0.91,0.53,4.675,46.46,42.17,0.5686274509803921,0.09803921568627451,0.11764705882352941,0.19607843137254902,0.17647058823529413
11,26,5,0,0,0,0,0,0,0,0,0,0,1,83,0,0,15.078313253012048,1.9607228915662651,41.99,0.0,0.0,0.91,0.53,4.675,46.46,42.17,0.6746987951807228,0.2289156626506024,0.14457831325301204,0.1686746987951807,0.08433734939759036
11,26,5,0,0,0,0,0,0,0,0,0,1,0,48,0,0,16.302083333333332,2.0939583333333336,41.99,0.0,0.0,0.91,0.53,4.675,46.46,42.17,0.3125,0.14583333333333334,0.10416666666666667,0.14583333333333334,0.22916666666666666
11,26,5,0,0,0,0,0,0,0,0,1,0,0,41,0,0,16.378048780487806,1.76,41.99,0.0,0.0,0.91,0.53,4.675,46.46,42.17,0.7073170731707317,0.17073170731707318,0.0975609756097561,0.21951219512195122,0.0975609756097561
11,26,5,0,0,0,0,0,0,0,1,0,0,0,47,0,0,19.617021276595743,2.5580851063829786,41.99,0.0,0.0,0.91,0.53,4.675,46.46,42.17,0.425531914893617,0.1276595744680851,0.06382978723404255,0.19148936170212766,0.1702127659574468
11,26,5,0,0,0,0,0,0,1,0,0,0,0,24,0,0,14.958333333333334,2.2241666666666666,41.99,0.0,0.0,0.91,0.53,4.675,46.46,42.17,0.5,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.25
11,26,5,0,0,0,0,0,1,0,0,0,0,0,42,0,0,17.345238095238095,1.8947619047619046,41.99,0.0,0.0,0.9099999999999999,0.53,4.675,46.46,42.17,0.47619047619047616,0.07142857142857142,0.047619047619047616,0.21428571428571427,0.21428571428571427
11,26,5,0,0,0,0,1,0,0,0,0,0,0,57,0,0,13.008771929824562,1.0403508771929824,41.99,0.0,0.0,0.91,0.53,4.675,46.46000000000001,42.17,0.5789473684210527,0.15789473684210525,0.05263157894736842,0.24561403508771928,0.17543859649122806
11,26,5,0,0,0,1,0,0,0,0,0,0,0,41,0,0,18.317073170731707,3.0770731707317074,41.99,0.0,0.0,0.91,0.53,4.675,46.46,42.17,0.4878048780487805,0.24390243902439024,0.14634146341463414,0.14634146341463414,0.12195121951219512
11,26,5,0,0,1,0,0,0,0,0,0,0,0,63,0,0,17.126984126984127,2.726825396825397,41.99,0.0,0.0,0.91,0.53,4.675,46.46,42.17,0.5555555555555556,0.15873015873015872,0.07936507936507936,0.15873015873015872,0.1746031746031746
11,26,5,0,1,0,0,0,0,0,0,0,0,0,62,0,0,17.201612903225808,3.2825806451612904,41.99,0.0,0.0,0.91,0.53,4.675,46.46,42.17,0.4838709677419355,0.27419354838709675,0.04838709677419355,0.14516129032258066,0.20967741935483872
11,26,5,1,0,0,0,0,0,0,0,0,0,0,57,0,0,16.359649122807017,1.8540350877192981,41.99,0.0,0.0,0.91,0.53,4.675,46.46000000000001,42.17,0.3684210526315789,0.07017543859649122,0.07017543859649122,0.24561403508771928,0.15789473684210525
11,26,6,0,0,0,0,0,0,0,0,0,0,0,76,0,0,16.973684210526315,2.044078947368421,41.83,0.0,0.0,0.92,1.83,5.589,46.6,41.85,0.27631578947368424,0.17105263157894737,0.039473684210526314,0.19736842105263158,0.13157894736842105
11,26,6,0,0,0,0,0,0,0,0,0,0,1,146,0,0,15.565068493150685,2.143219178082192,41.83,0.0,0.0,0.9199999999999999,1.83,5.589,46.6,41.85,0.3904109589041096,0.21232876712328766,0.07534246575342465,0.15753424657534246,0.15753424657534246
11,26,6,0,0,0,0,0,0,0,0,0,1,0,109,0,0,16.720183486238533,2.021834862385321,41.830000000000005,0.0,0.0,0.92,1.83,5.589,46.60000000000001,41.85000000000001,0.4954128440366973,0.13761467889908258,0.10091743119266056,0.1559633027522936,0.12844036697247707
11,26,6,0,0,0,0,0,0,0,0,1,0,0,152,0,0,15.351973684210526,1.7932894736842104,41.83,0.0,0.0,0.92,1.83,5.589,46.6,41.85,0.4473684210526316,0.18421052631578946,0.07894736842105263,0.19736842105263158,0.125
